vector_id,detected_faults,total_collapsed_faults,undetected_faults,fault_coverage_percent
803,920,994,74,92.5553319919517
804,920,994,74,92.5553319919517
805,920,994,74,92.5553319919517
806,920,994,74,92.5553319919517
807,920,994,74,92.5553319919517
808,920,994,74,92.5553319919517
809,920,994,74,92.5553319919517
810,920,994,74,92.5553319919517
811,920,994,74,92.5553319919517
812,920,994,74,92.5553319919517
813,920,994,74,92.5553319919517
814,920,994,74,92.5553319919517
815,920,994,74,92.5553319919517
816,920,994,74,92.5553319919517
817,920,994,74,92.5553319919517
818,920,994,74,92.5553319919517
819,920,994,74,92.5553319919517
820,920,994,74,92.5553319919517
821,920,994,74,92.5553319919517
822,920,994,74,92.5553319919517
823,920,994,74,92.5553319919517
824,920,994,74,92.5553319919517
825,920,994,74,92.5553319919517
826,920,994,74,92.5553319919517
827,920,994,74,92.5553319919517
828,920,994,74,92.5553319919517
829,920,994,74,92.5553319919517
830,920,994,74,92.5553319919517
831,920,994,74,92.5553319919517
832,920,994,74,92.5553319919517
833,920,994,74,92.5553319919517
834,920,994,74,92.5553319919517
835,920,994,74,92.5553319919517
836,920,994,74,92.5553319919517
837,920,994,74,92.5553319919517
838,920,994,74,92.5553319919517
839,920,994,74,92.5553319919517
840,920,994,74,92.5553319919517
841,920,994,74,92.5553319919517
842,920,994,74,92.5553319919517
843,920,994,74,92.5553319919517
844,920,994,74,92.5553319919517
845,920,994,74,92.5553319919517
846,920,994,74,92.5553319919517
847,920,994,74,92.5553319919517
848,920,994,74,92.5553319919517
849,920,994,74,92.5553319919517
850,920,994,74,92.5553319919517
851,920,994,74,92.5553319919517
852,920,994,74,92.5553319919517
853,920,994,74,92.5553319919517
854,920,994,74,92.5553319919517
855,920,994,74,92.5553319919517
856,920,994,74,92.5553319919517
857,920,994,74,92.5553319919517
858,920,994,74,92.5553319919517
859,920,994,74,92.5553319919517
860,920,994,74,92.5553319919517
861,920,994,74,92.5553319919517
862,920,994,74,92.5553319919517
863,920,994,74,92.5553319919517
864,920,994,74,92.5553319919517
865,920,994,74,92.5553319919517
866,920,994,74,92.5553319919517
867,920,994,74,92.5553319919517
